Date,Views,Watch time (hours),Average view duration,Estimated revenue (USD),Video title,Video publish time,Duration,Video views,Watch time (hours)
7/18/24,167788,55285.5271,0:19:46,1502.97,Indian Traveler's Customs Oversight | Border Security: Australia's Front Line,11-Apr-24,1536,155323,43758.7325
7/17/24,172732,58675.0334,0:20:22,1527.97,The Hidden Mother Load - DangerTV - Border Security Australia,19-Sep-24,1385,154842,32284.4178
7/16/24,180864,65030.95,0:21:34,1693.378,Heroin Twosome | Border Security: Australia's Front Line,13-Aug-22,1356,153430,37481.5074
7/15/24,184097,62382.2394,0:20:19,1554.195,Passengers Go Pill Crazy - Border Security Australia,21-May-24,1400,153220,25177.3094
7/14/24,182951,69425.9912,0:22:46,1609.941,Nervous Frenchman Raises Customs Concerns | Border Security: Australia's Front Line,7-Apr-24,1371,150626,38074.188
7/13/24,173835,64064.5649,0:22:06,1549.707,Cambodian Travels With Multiple IDs | Border Security: Australia's Front Line,26-Feb-23,1458,150268,38217.5166
7/12/24,175637,63066.1998,0:21:32,1565.881,Illegal Snake Boots? | Border Security: Australia's Front Line,29-Feb-24,1320,147546,29335.8879
7/11/24,216256,75488.3543,0:20:56,1883.987,Peruvian Backpack Banned | Border Security Australia,11-Jul-24,1361,147528,25541.3693
7/10/24,174379,60806.1154,0:20:55,1457.172,Revealing Signs: Narcotic Smuggler Caught Reacting | Border Security: Australia's Front Line,28-Apr-24,1296,147466,33045.3768
7/9/24,194798,72393.9073,0:22:17,1664.212,Bali Party Fallout | Border Security: Australia's Front Line,24-Feb-24,1278,147208,34333.4715
7/8/24,218763,83150.3026,0:22:48,1890.465,"Red, White, and Blue Border Security Marathon",3-Jul-24,6616,146323,118711.2503
7/7/24,212589,90282.8772,0:25:28,1730.044,Baby Face Caught with $100k in Heroin | Border Security: Australia's Front Line,16-Apr-23,1351,142142,32409.6638
7/6/24,190747,78354.9524,0:24:38,1647.052,Ephedrine Discovery Leads to Police Raid | Border Security: Australia's Front Line,5-May-24,1411,141108,33337.0255
7/5/24,193902,83302.9135,0:25:46,1807.387,Human Trafficking Operation? | Border Security: Australia's Front Line,27-Sep-23,1390,140388,37486.347
