Cities,City name,Views,Watch time (hours),Average view duration
0x89b111095799c9ed:0xbfd83e6de2423cc5,"Richmond, VA, USA",13802,2117.1752,0:09:12
0x808f9431b601597d:0x70474dec26939c0,"Hayward, CA, USA",13759,1617.5719,0:07:03
0x80d9390226587bd3:0x14724bafa4e62456,"Tijuana, Baja California, Mexico",13721,693.5625,0:03:01
0x883b872dfc1e4e79:0x7c3cc89f453ac345,"Toledo, OH, USA",13714,1896.2398,0:08:17
0x48738957be152909:0xa78c5a6a4cda71f0,"Southampton, UK",13633,1503.3556,0:06:36
0x39eb198a307baabf:0xb5137c1bf18db1ea,"Kathmandu , Nepal",13629,188.5315,0:00:49
0x391a837462345a7d:0x681102348ec60610,"Ludhiana, Punjab, India",13560,191.8944,0:00:50
0x3bc2b8377fbdeab3:0x2c4265dab1a7a0f8,"Pimpri-Chinchwad, Maharashtra, India",13252,137.7762,0:00:37
0x86473147c603385b:0xf1a4808e67c3df5d,"The Woodlands, TX, USA",13231,939.437,0:04:15
0x3e45c534ffdce87f:0x44d9319f78cfd4b1,"Doha, Qatar",13224,473.1647,0:02:08
0x886060408a83e785:0x2471261f898728aa,"Chattanooga, TN, USA",13202,1636.461,0:07:26
0x40b1f93abf3cad4f:0xac0632e37c9ca628,"Bucharest, Romania",13201,219.3854,0:00:59
0x88db420189a85429:0xc62908530aba258a,"Fort Myers, FL, USA",13133,559.5543,0:02:33
0x103b8b2ae68280c1:0xdc9e87a367c3d9cb,"Lagos, Nigeria",13125,1197.2914,0:05:28
0x3be7b9f0b81f13ad:0x3c12f7681185f869,"Navi Mumbai, Maharashtra, India",13089,141.4531,0:00:38
0x80c334dbeadd627b:0x703e35af9583190,"Ontario, CA, USA",13074,1224.3871,0:05:37
0x864e825c1d09f58f:0x3c306f568687f309,"Irving, TX, USA",13047,998.7129,0:04:35
0x864c03c1db5fc275:0x71fbdcb38623cd0,"Garland, TX, USA",12932,1079.1927,0:05:00
0x5490006404f52f5b:0x72449f271b24790,"Everett, WA, USA",12931,1311.7377,0:06:05
0x88626b67cda2898d:0x9a2c7e89c804566b,"Huntsville, AL, USA",12791,1129.7325,0:05:17
0x886c5df6b483d8e7:0xe91a912d8bad33d9,"Bloomington, IN, USA",12771,422.3107,0:01:59
0x872b5ae6de3cc901:0xd3dfa520c130189d,"Peoria, AZ, USA",12768,1061.4339,0:04:59
0x87694a4590f030ad:0xa9b14228b4ab4082,"Fort Collins, CO, USA",12736,567.9763,0:02:40
0x4860fffdd7d08a3b:0x2e57162cefc7c531,"Belfast, UK",12713,1203.751,0:05:40
0x872b08d9a7772c97:0x26d2e412188fe618,"Scottsdale, AZ, USA",12656,979.6485,0:04:38
0x89e7aa8e2c8962bf:0x386a408fc35353b2,"Bloomfield, CT, USA",12609,957.2264,0:04:33
0x89ab134f42924a23:0xa3ab9e7512763b9b,"Fayetteville, NC, USA",12406,2038.5471,0:09:51
